users,time,user_state,status
100,5.829147934913635,Registerd,{'status': 'OK'}
100,0.14078352600336075,NonRegisterd,{'status': 'OK'}
200,5.900776466354728,Registerd,{'status': 'OK'}
200,0.15467538870871067,NonRegisterd,{'status': 'OK'}
300,6.749757789075375,Registerd,{'status': 'OK'}
300,0.17145244032144547,NonRegisterd,{'status': 'OK'}
400,7.6622218657284975,Registerd,{'status': 'OK'}
400,0.2012131866067648,NonRegisterd,{'status': 'OK'}
500,7.923186931759119,Registerd,{'status': 'OK'}
500,0.23662966676056385,NonRegisterd,{'status': 'OK'}
600,6.7512853145599365,Registerd,{'status': 'OK'}
600,0.23934051021933556,NonRegisterd,{'status': 'OK'}
700,7.203984735533595,Registerd,{'status': 'OK'}
700,0.2737525049597025,NonRegisterd,{'status': 'OK'}
800,7.280208667740226,Registerd,{'status': 'OK'}
800,0.2908088769763708,NonRegisterd,{'status': 'OK'}
900,7.255531247705221,Registerd,{'status': 'OK'}
900,0.3020227123051882,NonRegisterd,{'status': 'OK'}
1000,8.643819149583578,Registerd,{'status': 'OK'}
1000,0.3355490993708372,NonRegisterd,{'status': 'OK'}
1100,8.185243936255574,Registerd,{'status': 'OK'}
1100,0.34390708059072495,NonRegisterd,{'status': 'OK'}
1200,7.3817099537700415,Registerd,{'status': 'OK'}
1200,0.3860430419445038,NonRegisterd,{'status': 'OK'}
1300,6.7915422562509775,Registerd,{'status': 'OK'}
1300,0.39923509396612644,NonRegisterd,{'status': 'OK'}
1400,7.380261769518256,Registerd,{'status': 'OK'}
1400,0.40969962254166603,NonRegisterd,{'status': 'OK'}
1500,7.157621745020151,Registerd,{'status': 'OK'}
1500,0.44938595592975616,NonRegisterd,{'status': 'OK'}
1600,7.434533655643463,Registerd,{'status': 'OK'}
1600,0.48353928700089455,NonRegisterd,{'status': 'OK'}
1700,7.45197837986052,Registerd,{'status': 'OK'}
1700,0.4776658955961466,NonRegisterd,{'status': 'OK'}
1800,7.150562668219209,Registerd,{'status': 'OK'}
1800,0.5035451706498861,NonRegisterd,{'status': 'OK'}
1900,8.313814474269748,Registerd,{'status': 'OK'}
1900,0.6066311169415712,NonRegisterd,{'status': 'OK'}
2000,7.373667689040303,Registerd,{'status': 'OK'}
2000,0.5401194933801889,NonRegisterd,{'status': 'OK'}
2100,9.01706345565617,Registerd,{'status': 'OK'}
2100,0.5741854719817638,NonRegisterd,{'status': 'OK'}
2200,7.763234283775091,Registerd,{'status': 'OK'}
2200,0.5986471232026815,NonRegisterd,{'status': 'OK'}
2300,7.653946807608008,Registerd,{'status': 'OK'}
2300,0.6442703865468502,NonRegisterd,{'status': 'OK'}
2400,7.570579381659627,Registerd,{'status': 'OK'}
2400,0.6440928280353546,NonRegisterd,{'status': 'OK'}
2500,8.310997314751148,Registerd,{'status': 'OK'}
2500,0.6623430196195841,NonRegisterd,{'status': 'OK'}
2600,8.07766011171043,Registerd,{'status': 'OK'}
2600,0.6487260069698095,NonRegisterd,{'status': 'OK'}
2700,7.834124535322189,Registerd,{'status': 'OK'}
2700,0.5946589075028896,NonRegisterd,{'status': 'OK'}
2800,8.035186652094126,Registerd,{'status': 'OK'}
2800,0.8084676507860422,NonRegisterd,{'status': 'OK'}
2900,8.384179584681988,Registerd,{'status': 'OK'}
2900,0.6405425276607275,NonRegisterd,{'status': 'OK'}
3000,7.792957382276654,Registerd,{'status': 'OK'}
3000,0.765165951102972,NonRegisterd,{'status': 'OK'}
3100,8.23109706491232,Registerd,{'status': 'OK'}
3100,0.7538584675639868,NonRegisterd,{'status': 'OK'}
3200,8.07077200897038,Registerd,{'status': 'OK'}
3200,0.6914114709943533,NonRegisterd,{'status': 'OK'}
3300,7.818119693547487,Registerd,{'status': 'OK'}
3300,0.8856296930462122,NonRegisterd,{'status': 'OK'}
3400,7.965286731719971,Registerd,{'status': 'OK'}
3400,0.7582181077450514,NonRegisterd,{'status': 'OK'}
3500,8.624923108145595,Registerd,{'status': 'OK'}
3500,0.7283977773040533,NonRegisterd,{'status': 'OK'}
3600,7.620724519714713,Registerd,{'status': 'OK'}
3600,0.7583608645945787,NonRegisterd,{'status': 'OK'}
3700,8.204375492408872,Registerd,{'status': 'OK'}
3700,0.9283069372177124,NonRegisterd,{'status': 'OK'}
3800,7.766837006434798,Registerd,{'status': 'OK'}
3800,0.8152979388833046,NonRegisterd,{'status': 'OK'}
3900,8.107849324122071,Registerd,{'status': 'OK'}
3900,1.0021560154855251,NonRegisterd,{'status': 'OK'}
4000,8.164014240726829,Registerd,{'status': 'OK'}
4000,1.0107851661741734,NonRegisterd,{'status': 'OK'}
4100,8.132580315694213,Registerd,{'status': 'OK'}
4100,0.8815254531800747,NonRegisterd,{'status': 'OK'}
4200,7.846441742032766,Registerd,{'status': 'OK'}
4200,0.9020586404949427,NonRegisterd,{'status': 'OK'}
4300,8.52769890613854,Registerd,{'status': 'OK'}
4300,0.9593316968530416,NonRegisterd,{'status': 'OK'}
4400,7.655388347804546,Registerd,{'status': 'OK'}
4400,1.1121830269694328,NonRegisterd,{'status': 'OK'}
4500,8.400731464847922,Registerd,{'status': 'OK'}
4500,0.948477853089571,NonRegisterd,{'status': 'OK'}
4600,8.53676331229508,Registerd,{'status': 'OK'}
4600,0.9701601080596447,NonRegisterd,{'status': 'OK'}
4700,8.575239976868033,Registerd,{'status': 'OK'}
4700,1.1636074669659138,NonRegisterd,{'status': 'OK'}
4800,8.149803828448057,Registerd,{'status': 'OK'}
4800,1.1856753937900066,NonRegisterd,{'status': 'OK'}
4900,8.193104363977909,Registerd,{'status': 'OK'}
4900,1.0374476239085197,NonRegisterd,{'status': 'OK'}
5000,7.902148330584168,Registerd,{'status': 'OK'}
5000,1.075968999415636,NonRegisterd,{'status': 'OK'}
5100,9.080092271789908,Registerd,{'status': 'OK'}
5100,1.0859600864350796,NonRegisterd,{'status': 'OK'}
5200,7.934780092909932,Registerd,{'status': 'OK'}
5200,1.108513766899705,NonRegisterd,{'status': 'OK'}
5300,8.526001090183854,Registerd,{'status': 'OK'}
5300,1.1972272247076035,NonRegisterd,{'status': 'OK'}
5400,9.196084585040808,Registerd,{'status': 'OK'}
5400,1.1248857658356428,NonRegisterd,{'status': 'OK'}
5500,8.529710976406932,Registerd,{'status': 'OK'}
5500,1.3534395433962345,NonRegisterd,{'status': 'OK'}
5600,8.549674268811941,Registerd,{'status': 'OK'}
5600,1.4068029914051294,NonRegisterd,{'status': 'OK'}
5700,7.249571239575744,Registerd,{'status': 'OK'}
5700,1.2472241166979074,NonRegisterd,{'status': 'OK'}
5800,8.125221421942115,Registerd,{'status': 'OK'}
5800,1.2082324493676424,NonRegisterd,{'status': 'OK'}
5900,8.91341271623969,Registerd,{'status': 'OK'}
5900,1.4561463799327612,NonRegisterd,{'status': 'OK'}
6000,8.592759171500802,Registerd,{'status': 'OK'}
6000,1.459249334409833,NonRegisterd,{'status': 'OK'}
6100,8.698408599942923,Registerd,{'status': 'OK'}
6100,1.4950826242566109,NonRegisterd,{'status': 'OK'}
6200,8.554716413840652,Registerd,{'status': 'OK'}
6200,1.5052660014480352,NonRegisterd,{'status': 'OK'}
6300,8.688251923769712,Registerd,{'status': 'OK'}
6300,1.5352300740778446,NonRegisterd,{'status': 'OK'}
6400,9.484610989689827,Registerd,{'status': 'OK'}
